,page_total_likes,type,category,post_month,post_weekday,post_hour,paid,total_interactions,total_reach
0,139441,0,2,12,4,3,0.0,100,2752
1,139441,1,2,12,3,10,0.0,164,10460
2,139441,0,3,12,3,3,0.0,80,2413
3,139441,0,2,12,2,10,1.0,1777,50128
4,139441,0,2,12,2,3,0.0,393,7244
5,139441,1,2,12,1,9,0.0,186,10472
6,139441,0,3,12,1,3,1.0,279,11692
7,139441,0,3,12,7,9,1.0,339,13720
8,139441,1,2,12,7,3,0.0,192,11844
9,139441,0,3,12,6,10,0.0,142,4694
10,139441,1,2,12,5,10,0.0,252,21744
11,139441,0,2,12,5,10,0.0,106,3112
12,139441,0,2,12,5,10,0.0,104,2847
13,139441,0,2,12,5,3,0.0,152,2549
14,138414,0,2,12,4,5,1.0,599,22784
15,138414,1,2,12,3,10,0.0,108,10060
16,138414,0,3,12,3,3,0.0,54,1722
17,138414,0,1,12,2,12,1.0,713,53264
18,138414,1,3,12,2,3,0.0,75,3930
19,138414,0,3,12,1,11,0.0,42,1591
20,138414,0,2,12,1,3,0.0,81,2848
21,138414,0,1,12,7,10,0.0,0,1384
22,138414,2,1,12,7,10,0.0,18,3454
23,138414,0,3,12,7,3,0.0,96,2723
24,138414,1,2,12,6,10,0.0,121,8488
25,138458,1,2,12,6,3,0.0,106,8284
26,138458,1,2,12,5,11,0.0,494,19552
27,138458,0,3,12,5,3,0.0,117,2478
28,138895,0,2,12,5,3,0.0,622,9560
29,138895,3,1,12,4,11,1.0,174,36208
30,138895,0,2,12,4,2,0.0,162,4940
31,138895,0,2,12,3,10,0.0,39,1683
32,138895,0,3,12,3,3,0.0,204,5280
33,138895,0,3,12,2,9,0.0,125,3002
34,138895,0,1,12,2,3,0.0,75,3766
35,138895,0,2,12,1,11,0.0,199,4512
36,138895,0,3,12,1,3,0.0,113,2690
37,138895,0,1,12,7,10,1.0,100,19800
38,138895,1,2,12,7,9,0.0,269,17576
39,138895,0,1,12,7,3,0.0,59,3290
40,138895,1,2,12,6,11,0.0,262,13280
41,138895,2,1,12,6,3,1.0,211,18480
42,138353,0,1,12,5,10,0.0,36,7268
43,138353,2,1,12,5,3,1.0,46,2645
44,138353,0,1,12,4,11,0.0,58,4284
45,138353,2,1,12,4,3,1.0,71,7968
46,138353,1,1,12,3,11,0.0,214,16576
47,138353,2,1,12,3,2,0.0,32,1925
48,138353,0,1,12,2,11,0.0,92,3786
49,138353,2,1,12,2,2,0.0,14,1536
50,138353,0,2,11,1,9,0.0,58,1728
51,138329,0,1,11,1,3,1.0,337,25248
52,138329,0,1,11,7,9,0.0,242,4894
53,138329,0,1,11,7,3,0.0,87,2935
54,138329,0,1,11,6,10,0.0,83,2425
55,138329,3,1,11,6,2,1.0,81,16416
56,138329,0,1,11,5,11,0.0,220,5812
57,138329,0,1,11,5,3,0.0,53,2545
58,138329,0,1,11,4,10,0.0,90,2257
59,138329,0,1,11,4,3,1.0,160,27072
60,138185,0,1,11,3,11,1.0,123,10940
61,138185,0,1,11,3,2,1.0,162,50912
62,138185,0,1,11,2,10,1.0,202,28752
63,138185,0,1,11,2,3,1.0,245,27216
64,138185,0,1,11,1,10,0.0,69,2352
65,138185,0,1,11,1,3,0.0,119,3416
66,138185,0,1,11,7,11,0.0,55,2149
67,138185,0,1,11,7,3,1.0,787,53456
68,138185,0,1,11,6,11,0.0,70,2168
69,137893,0,1,11,6,3,0.0,119,3102
70,137893,0,1,11,5,10,1.0,162,39344
71,137893,3,1,11,5,3,1.0,550,100768
72,137893,1,3,11,4,11,0.0,273,9056
73,137893,0,1,11,4,2,1.0,233,11444
74,137893,3,1,11,3,11,0.0,114,13544
75,137893,0,1,11,3,2,1.0,505,37376
76,137893,0,1,11,3,2,0.0,0,1228
77,137177,0,1,11,1,10,0.0,97,22984
78,137177,0,2,11,1,3,0.0,64,1445
79,137177,0,1,11,7,12,0.0,38,3754
80,137177,1,2,11,7,3,0.0,101,8728
81,137177,0,3,11,6,10,0.0,441,5990
82,137177,0,1,11,6,3,0.0,252,4582
83,137177,0,3,11,5,10,1.0,122,2938
84,137177,1,3,11,5,2,0.0,117,6692
85,137177,0,1,11,4,9,1.0,158,2566
86,137177,2,1,11,4,3,0.0,163,21176
87,137177,0,3,11,3,10,0.0,311,4012
88,137177,0,1,11,3,3,0.0,39,1531
89,137059,0,1,11,2,11,1.0,126,2938
90,137059,0,1,11,2,3,0.0,421,24720
91,137059,0,2,11,1,9,0.0,91,2219
92,137059,0,3,11,1,3,0.0,342,4732
93,137059,0,3,11,7,9,0.0,129,2225
94,137059,0,2,11,7,4,0.0,148,2626
95,137059,0,3,10,6,10,0.0,185,3090
96,137059,0,1,10,6,3,0.0,65,1101
97,137059,0,2,10,5,11,0.0,142,2819
98,137020,1,2,10,5,3,1.0,378,12468
99,137020,0,1,10,4,10,0.0,430,12776
100,137020,0,1,10,4,9,1.0,0,1357
101,137020,0,2,10,4,3,0.0,1626,68896
102,137020,0,3,10,3,10,0.0,79,1711
103,137020,0,1,10,3,4,0.0,17,1388
104,137020,0,1,10,2,11,1.0,72,2645
105,137020,0,1,10,2,4,0.0,1136,70144
106,137020,0,3,10,1,11,0.0,222,3674
107,136736,1,2,10,1,4,0.0,238,9504
108,136736,0,3,10,7,9,0.0,148,2426
109,136736,1,2,10,7,3,0.0,271,13872
110,136736,0,1,10,6,10,0.0,34,1673
111,136736,0,1,10,6,8,0.0,0,1261
112,136736,0,2,10,6,4,0.0,139,2428
113,136642,0,2,10,1,3,1.0,97,2227
114,136642,0,1,10,7,13,0.0,17,1592
115,136642,0,1,10,7,12,1.0,6,813
116,136642,0,1,10,7,12,0.0,458,32208
117,136642,0,1,10,7,11,0.0,7,729
118,136642,0,1,10,7,10,0.0,9,834
119,136393,0,1,10,7,10,0.0,8,786
120,136393,0,1,10,7,9,0.0,2,584
121,136393,1,2,10,7,9,0.0,232,15816
122,136393,0,1,10,7,8,0.0,4,619
123,136393,0,1,10,7,7,0.0,6,617
124,136393,0,1,10,7,6,0.0,7,677
125,136393,0,1,10,7,5,0.0,9,677
126,136393,0,3,10,7,3,0.0,242,3366
127,136393,0,1,10,6,13,0.0,10,747
128,136393,0,1,10,6,13,0.0,5,645
129,136393,0,1,10,6,12,0.0,3,754
130,136393,0,1,10,6,11,0.0,10,910
131,136393,0,1,10,6,9,0.0,10,3906
132,136393,0,1,10,6,9,0.0,10,659
133,136393,0,1,10,6,8,0.0,12,652
134,136393,0,1,10,6,6,0.0,34,861
135,136393,0,1,10,6,2,0.0,68,3690
136,136393,2,1,10,5,10,0.0,48,4664
137,136013,0,1,10,5,8,0.0,39,1080
138,136013,1,2,10,5,3,0.0,154,8896
139,136013,0,1,10,4,10,1.0,100,4018
140,136013,2,1,10,4,3,0.0,202,68992
141,136013,1,3,10,3,10,0.0,265,13152
142,136013,1,2,10,3,2,1.0,1009,31136
143,136013,0,3,10,2,10,1.0,447,16776
144,136013,0,1,10,2,3,1.0,53,50736
145,136013,0,1,10,1,10,1.0,96,5324
146,136013,0,3,10,1,3,0.0,204,18120
147,135713,0,3,10,7,10,0.0,94,2291
148,135713,1,2,10,7,4,0.0,179,10744
149,135713,2,1,10,6,11,1.0,35,3616
150,135713,0,1,10,6,4,0.0,367,39984
151,135713,0,2,10,5,11,0.0,200,4010
152,135713,0,2,10,5,4,1.0,454,6564
153,135713,0,1,10,4,10,0.0,193,8612
154,135713,0,2,10,4,1,0.0,387,5568
155,135700,0,2,9,3,7,0.0,70,1685
156,135700,0,2,9,2,11,0.0,163,3756
157,135700,0,3,9,2,2,0.0,137,2656
158,135700,0,2,9,1,10,0.0,252,5086
159,135617,0,2,9,1,3,1.0,98,2055
160,135617,0,3,9,7,9,0.0,409,9384
161,135617,0,2,9,7,3,0.0,282,3992
162,135617,0,3,9,6,10,0.0,410,7512
163,135617,1,2,9,6,4,0.0,288,11096
164,135428,0,1,9,5,10,0.0,18,1060
165,135428,0,2,9,5,3,1.0,132,2790
166,135428,0,1,9,4,10,1.0,84,13856
167,135428,0,3,9,4,2,1.0,557,10748
168,135428,0,1,9,3,10,0.0,1974,41984
169,135428,0,2,9,3,2,1.0,121,2522
170,135195,0,3,9,2,9,0.0,217,4480
171,135195,0,1,9,2,2,0.0,38,1543
172,135195,1,2,9,1,10,0.0,228,21256
173,135195,0,1,9,1,4,0.0,225,4484
174,135195,0,2,9,7,3,0.0,243,4398
175,135195,1,2,9,6,10,1.0,189,13216
176,135195,0,3,9,6,3,1.0,1174,22304
177,135195,0,1,9,5,11,0.0,276,6208
178,135195,0,2,9,5,2,0.0,299,4518
179,135195,0,2,9,4,10,0.0,194,3582
180,134879,1,2,9,4,4,1.0,199,9124
181,134879,0,1,9,3,10,0.0,114,14152
182,134879,0,3,9,3,2,1.0,271,4260
183,134879,3,1,9,2,10,0.0,472,30624
184,134879,0,2,9,2,3,0.0,90,2363
185,134879,0,1,9,1,10,0.0,72,2232
186,134879,0,2,9,1,6,0.0,263,4048
187,134879,0,2,9,7,10,0.0,67,1804
188,134879,0,3,9,7,4,1.0,117,2351
189,133679,0,2,9,2,10,0.0,164,3100
190,133679,0,3,9,2,3,1.0,119,2360
191,133679,0,3,8,1,10,0.0,818,19648
192,133679,0,2,8,1,4,0.0,70,2295
193,133594,0,2,8,7,10,1.0,133,3934
194,133594,0,1,8,7,3,0.0,490,34512
