,age,sex,rural,largefam,ptogether,Medu,Fedu,health,traveltime,studytime,failures,absences,activities,highereduplan,internet,romantic,freetime,goout,alc
0,18,F,0,1,0,4,4,3,2,2,0,6,0,1,0,0,3,4,2
1,17,F,0,1,1,1,1,3,1,2,0,4,0,1,1,0,3,3,2
2,15,F,0,0,1,1,1,3,1,2,3,10,0,1,1,0,3,2,5
3,15,F,0,1,1,4,2,5,1,3,0,2,1,1,1,1,2,2,2
4,16,F,0,1,1,3,3,5,1,2,0,4,0,1,0,0,3,2,3
5,16,M,0,0,1,4,3,5,1,2,0,10,1,1,1,0,4,2,3
6,16,M,0,0,1,2,2,3,1,2,0,0,0,1,1,0,4,4,2
7,17,F,0,1,0,4,4,1,2,2,0,6,0,1,0,0,1,4,2
8,15,M,0,0,0,3,2,1,1,2,0,0,0,1,1,0,2,2,2
9,15,M,0,1,1,3,4,5,1,2,0,0,1,1,1,0,5,1,2
10,15,F,0,1,1,4,4,2,1,2,0,0,0,1,1,0,3,3,3
11,15,F,0,1,1,2,1,4,3,3,0,4,1,1,1,0,2,2,2
12,15,M,0,0,1,4,4,5,1,1,0,2,1,1,1,0,3,3,4
13,15,M,0,1,1,4,3,3,2,2,0,2,0,1,1,0,4,3,3
14,15,M,0,1,0,2,2,3,1,3,0,0,0,1,1,1,5,2,2
15,16,F,0,1,1,4,4,2,1,1,0,4,0,1,1,0,4,4,3
16,16,F,0,1,1,4,4,2,1,3,0,6,1,1,1,0,2,3,3
17,16,F,0,1,1,3,3,4,3,2,0,4,1,1,0,0,3,2,2
18,17,M,0,1,1,3,2,5,1,1,3,16,1,1,1,0,5,5,6
19,16,M,0,0,1,4,3,5,1,1,0,4,1,1,1,0,1,3,4
20,15,M,0,1,1,4,3,1,1,2,0,0,0,1,1,0,4,1,2
21,15,M,0,1,1,4,4,5,1,1,0,0,0,1,1,0,4,2,2
22,16,M,0,0,1,4,2,5,1,2,0,2,1,1,1,0,5,1,4
23,16,M,0,0,1,2,2,5,2,2,0,0,1,1,1,0,4,4,6
24,15,F,1,1,1,2,4,5,1,3,0,2,1,1,1,0,3,2,2
25,16,F,0,1,1,2,2,5,1,1,2,14,0,1,1,0,2,2,4
26,15,M,0,1,1,2,2,5,1,1,0,2,0,1,1,0,2,2,3
27,15,M,0,1,1,4,2,1,1,1,0,4,0,1,1,0,2,4,6
28,16,M,0,0,0,3,4,5,1,2,0,4,1,1,1,0,3,3,2
29,16,M,0,1,1,4,4,5,1,2,0,16,1,1,1,1,4,5,10
30,15,M,0,1,1,4,4,5,1,2,0,0,0,1,1,0,4,2,7
31,15,M,0,1,1,4,4,5,2,2,0,0,1,1,1,0,3,1,2
32,15,M,1,1,1,4,3,5,1,2,0,0,1,1,1,1,5,2,2
33,15,M,0,0,1,3,3,2,1,2,0,0,1,1,1,0,3,2,2
34,16,M,0,1,1,3,2,5,1,1,0,0,0,1,1,0,4,3,2
35,15,F,0,1,1,2,3,5,2,1,0,0,1,1,0,0,5,1,2
36,15,M,0,0,1,4,3,4,1,3,0,2,1,1,1,0,4,3,2
37,16,M,1,1,0,4,4,5,2,3,0,7,1,1,1,1,4,3,2
38,15,F,1,1,1,3,4,5,1,3,0,2,1,1,1,0,3,2,2
39,15,F,1,1,1,2,2,2,1,1,0,8,1,1,0,0,3,1,2
40,16,F,0,0,1,2,2,3,2,2,1,25,1,1,1,1,3,3,3
41,15,M,0,0,1,4,4,5,1,1,0,8,0,1,1,1,4,3,6
42,15,M,0,1,1,4,4,5,1,2,0,2,1,1,1,0,3,3,2
43,15,M,0,1,1,2,2,1,1,1,0,0,0,1,1,0,4,1,2
44,16,F,0,0,1,2,2,5,2,2,1,14,1,1,1,0,3,3,4
45,15,F,0,0,0,4,3,5,1,2,0,8,1,1,1,1,2,2,2
46,16,F,0,0,0,3,3,3,1,2,0,12,0,1,1,0,3,5,5
47,16,M,0,1,1,4,3,2,1,4,0,4,1,1,1,0,2,2,2
48,15,M,0,1,1,4,2,5,1,2,0,2,0,1,0,0,3,3,4
49,15,F,0,1,1,4,4,3,1,2,1,2,1,1,1,0,4,4,2
50,16,F,0,0,1,2,2,4,3,2,0,2,0,1,1,0,3,3,5
51,15,F,0,0,1,4,2,5,1,2,0,2,0,1,1,0,3,3,2
52,15,M,0,0,0,4,2,5,2,1,1,6,0,1,0,0,5,5,7
53,15,F,0,1,1,4,4,5,1,1,0,0,0,1,1,0,3,4,5
54,15,F,0,0,0,3,3,1,1,1,0,6,0,1,1,0,3,4,8
55,16,F,0,1,0,2,1,2,1,2,0,8,1,1,1,1,3,4,2
56,15,F,0,1,0,4,3,1,1,2,0,0,1,1,1,0,3,2,2
57,15,M,0,1,1,4,4,5,1,2,0,4,1,1,0,0,2,2,2
58,15,M,0,0,1,1,2,5,1,2,0,2,1,1,1,0,3,2,2
59,16,F,0,1,1,4,2,5,1,2,0,2,0,1,1,0,2,3,2
60,16,F,1,1,1,4,4,4,1,2,0,6,1,1,0,0,4,4,5
61,16,F,0,1,1,1,1,5,4,1,0,6,1,1,1,1,5,5,10
62,16,F,0,0,1,1,2,1,1,2,0,4,1,1,1,0,4,3,2
63,16,F,0,1,1,4,3,4,1,3,0,2,1,1,1,0,4,4,6
64,15,F,0,0,1,4,3,2,1,2,0,0,1,1,1,1,4,4,6
65,16,F,0,0,1,4,3,1,3,2,0,2,1,1,1,0,4,3,3
66,15,M,0,1,0,4,4,3,1,4,0,4,1,1,1,1,3,3,10
67,16,F,0,1,1,3,1,5,1,4,0,4,0,1,1,0,3,3,3
68,15,F,1,0,1,2,2,4,2,2,0,2,0,1,1,0,1,3,4
69,15,F,1,0,1,3,1,3,2,4,0,12,0,1,1,0,4,2,5
70,16,M,0,1,1,3,1,5,2,4,0,0,0,1,1,0,3,2,2
71,15,M,0,1,1,4,2,3,1,4,0,0,0,1,1,0,3,3,2
72,15,F,1,1,1,1,1,5,1,2,2,2,0,1,1,1,3,4,6
73,16,M,0,1,1,3,1,5,1,1,0,2,1,1,0,0,3,2,4
74,16,F,0,1,1,3,3,5,1,2,0,54,1,1,1,0,3,3,6
75,15,M,0,1,1,4,3,5,1,2,0,6,1,1,1,0,3,3,5
76,15,M,0,1,1,4,0,1,2,4,0,8,1,1,1,0,4,3,2
77,16,F,0,1,1,2,2,3,1,4,0,0,0,1,1,1,2,3,4
78,17,M,0,1,1,2,1,3,2,1,3,2,1,0,1,0,5,1,2
79,16,F,0,1,1,3,4,3,1,2,0,12,0,1,1,0,4,3,3
80,15,M,0,1,1,2,3,3,1,1,0,2,1,1,1,1,2,2,4
